ID,STATE,ROLE,GRADE,SCHOOL_TYPE,EXPERIENCE,TAGS,DEVICES,PARTNERS,FEATURES,SUBJECT
45,MA,Teacher,High,Public,sixteenTwenty,Other,computerLab,No response,No response,Math
45,MA,Teacher,High,Public,sixteenTwenty,Other,computerLab,No response,No response,PreCalc
45,MA,Teacher,High,Public,sixteenTwenty,Other,computerLab,No response,No response,otherMath
45,MA,Teacher,High,Public,sixteenTwenty,Other,computerLab,No response,No response,Other
288,FL,Teacher,High,Public,zeroFive,Marzano,computerLab,No response,No response,Math
288,FL,Teacher,High,Public,zeroFive,Marzano,computerLab,No response,No response,ForeignLanguage
288,FL,Teacher,High,Public,zeroFive,Marzano,computerLab,No response,No response,Albebra2
288,FL,Teacher,High,Public,zeroFive,Marzano,computerLab,No response,No response,PreCalc
417,WA,Teacher,High,Public,twentyMore,Other,Other,Skyward Exam view,Thank you for images,Science
417,WA,Teacher,High,Public,twentyMore,Other,Other,Skyward Exam view,Thank you for images,Chemistry
650,AL,Teacher,High,Public,elevenFifteen,State,BYOT,No response,No response,ForeignLanguage
650,AL,Teacher,High,Public,elevenFifteen,State,BYOT,No response,No response,Spanish
665,GA,Teacher,Middle,Public,elevenFifteen,State,computerLab,No response,No response,Physics
665,GA,Teacher,Middle,Public,elevenFifteen,State,computerLab,No response,No response,Science
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,ComputerScience
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,Math
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,English
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,ForeignLanguage
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,Albebra2
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,Geometry
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,PreCalc
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,History
683,MS,Administrator,High,Private,twentyMore,na,computerLab,No response,No response,Science
