'ID,STATE,ROLE,GRADE,SCHOOL_TYPE,EXPERIENCE,TAGS,DEVICES,PARTNERS,FEATURES,SUBJECT
1788,CO,Tech,High,Public,sixteenTwenty,CommonCore,BYOT,No response,No response,Other
5569,TX,Tech,High,Public,sixTen,State,BYOT,Google-- so teachers can import / export directly to their Google Drive account.,Images embedded for individual Answer Choices.,Other
8267,AL,Tech,High,Private,sixTen,Other,1to1,No response,No response,Math
9833,IN,Tech,High,Public,sixTen,CommonCore,1to1,No response,No response,Other
13588,CA,Tech,High,Public,elevenFifteen,CommonCore,BYOT,No response,No response,ComputerScience
13588,CA,Tech,High,Public,elevenFifteen,CommonCore,BYOT,No response,No response,Music
13588,CA,Tech,High,Public,elevenFifteen,CommonCore,BYOT,No response,No response,Reading
13588,CA,Tech,High,Public,elevenFifteen,CommonCore,BYOT,No response,No response,Band
13784,MO,Tech,High,Private,sixTen,Marzano,1to1,Instructure - Canvas Learning Management System,No response,Other
14141,ND,Tech,High,Public,sixteenTwenty,na,1to1,No response,No response,Other
14308,International,Tech,High,Private,twentyMore,Marzano,1to1,"DropBox and Google Drive - especially if you are going to either limit the storage (for images) for accounts, or if you can only use images which are stored online.","Inclusion of images has been on my mind for a long time, but I see that you have that now. Will there be storage limitations on accounts or individual quizzes with this new feature? Please see my feature suggestion for a partnership above.",ComputerScience
14308,International,Tech,High,Private,twentyMore,Marzano,1to1,"DropBox and Google Drive - especially if you are going to either limit the storage (for images) for accounts, or if you can only use images which are stored online.","Inclusion of images has been on my mind for a long time, but I see that you have that now. Will there be storage limitations on accounts or individual quizzes with this new feature? Please see my feature suggestion for a partnership above.",Other
14319,GA,Tech,High,Public,elevenFifteen,CommonCore,BYOT,No response,No response,Science
17033,International,Tech,High,Private,sixTen,Other,1to1,No response,No response,ComputerScience
18504,TX,Tech,High,Public,elevenFifteen,Other,1to1,No response,a place where the kids can draw something and send it back to you!,ComputerScience
18504,TX,Tech,High,Public,elevenFifteen,Other,1to1,No response,a place where the kids can draw something and send it back to you!,Math
18504,TX,Tech,High,Public,elevenFifteen,Other,1to1,No response,a place where the kids can draw something and send it back to you!,English
18504,TX,Tech,High,Public,elevenFifteen,Other,1to1,No response,a place where the kids can draw something and send it back to you!,ForeignLanguage
18504,TX,Tech,High,Public,elevenFifteen,Other,1to1,No response,a place where the kids can draw something and send it back to you!,History
18504,TX,Tech,High,Public,elevenFifteen,Other,1to1,No response,a place where the kids can draw something and send it back to you!,Science
18504,TX,Tech,High,Public,elevenFifteen,Other,1to1,No response,a place where the kids can draw something and send it back to you!,Geography
18651,International,Tech,High,Public,twentyMore,Other,1to1,No response,No response,ComputerScience
18651,International,Tech,High,Public,twentyMore,Other,1to1,No response,No response,Math
18651,International,Tech,High,Public,twentyMore,Other,1to1,No response,No response,Albebra2
18651,International,Tech,High,Public,twentyMore,Other,1to1,No response,No response,Algebra1
21115,MA,Tech,High,Public,sixTen,Other,BYOT,No response,No response,ComputerScience
21424,OH,Tech,High,Private,sixTen,CommonCore,BYOT,"Nearpod, canvas","Input mathematical notation Have multiple activities running Allow teachers to ""group"" students into a class and see results historically",English
22498,International,Tech,High,Public,twentyMore,na,computerLab,No response,No response,ComputerScience
22498,International,Tech,High,Public,twentyMore,na,computerLab,No response,No response,Science
22498,International,Tech,High,Public,twentyMore,na,computerLab,No response,No response,Biology
22498,International,Tech,High,Public,twentyMore,na,computerLab,No response,No response,PE
23540,NE,Tech,High,Private,elevenFifteen,Other,computerLab,No response,No response,ComputerScience
23833,International,Tech,High,Public,sixTen,State,1to1,No response,No response,History
23833,International,Tech,High,Public,sixTen,State,1to1,No response,No response,PE
24314,PA,Tech,High,Public,elevenFifteen,State,BYOT,No response,No response,Math
24314,PA,Tech,High,Public,elevenFifteen,State,BYOT,No response,No response,ForeignLanguage
24314,PA,Tech,High,Public,elevenFifteen,State,BYOT,No response,No response,ESL
24332,NE,Tech,High,Public,elevenFifteen,State,1to1,No response,No response,English
24332,NE,Tech,High,Public,elevenFifteen,State,1to1,No response,No response,Other
25119,TX,Tech,High,Public,elevenFifteen,na,1to1,Google Apps for Education and Schoology,"I would love to see a draw feature in Socrative. Where the educator could load an image and the learners could draw on the image and submit that, or they could draw on a blank canvas.",Other
25973,VA,Tech,High,Public,zeroFive,State,BYOT,No response,No response,Math
25973,VA,Tech,High,Public,zeroFive,State,BYOT,No response,No response,English
25973,VA,Tech,High,Public,zeroFive,State,BYOT,No response,No response,ForeignLanguage
25973,VA,Tech,High,Public,zeroFive,State,BYOT,No response,No response,Geography
25973,VA,Tech,High,Public,zeroFive,State,BYOT,No response,No response,ESL
25973,VA,Tech,High,Public,zeroFive,State,BYOT,No response,No response,PE
25973,VA,Tech,High,Public,zeroFive,State,BYOT,No response,No response,Health
25973,VA,Tech,High,Public,zeroFive,State,BYOT,No response,No response,Spanish
26722,TX,Tech,High,Public,elevenFifteen,State,1to1,No response,Quizzes available asynchronously.,Other
29828,TX,Tech,High,Public,twentyMore,Bloom,BYOT,"Remind 101, Schoology",I wish there was a filter that would not allow common profane words appear.,Math
29828,TX,Tech,High,Public,twentyMore,Bloom,BYOT,"Remind 101, Schoology",I wish there was a filter that would not allow common profane words appear.,English
